ORIGEM	DESTINO	Faixa Et†ria	Escolaridade	Renda Familiar	Periodo do dia	Motivo	Principal Modal	Fez Integraá∆o?	Se sim, qual modal?	Tempo de Viagem	Frequància
Morros	S∆o Lu°s - Centro	25 a 34 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Van	SIM	‚nibus	Maior que 2h	Diariamente
Morros	S∆o Lu°s - Centro	25 a 34 anos	Ensino MÇdio incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Outros	T Alternativo - Van	SIM	T†xi	Maior que 2h	2 a 3 vezes ao màs
Morros	S∆o Lu°s - Cohab	35 a 44 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Van	NAO		Maior que 2h	2 a 3 vezes ao màs
Nova terra	S∆o Lu°s - Centro	18 a 24 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Estudo	‚nibus	SIM	‚nibus	Entre 1 e 1h30	Diariamente
Nova terra	S∆o Lu°s - Centro	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Noite (18h - 00h)	Estudo	‚nibus	SIM	‚nibus	Entre 1 e 1h30	Diariamente
Nova terra	S∆o Lu°s - Centro	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Estudo	‚nibus	SIM	‚nibus	Entre 1 e 1h30	3 a 5 vezes por semana
Nova terra	S∆o Lu°s - Centro	35 a 44 anos	Ensino Superior completo ou mais	Entre 4 e 10 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	‚nibus	SIM	‚nibus	Entre 1 e 1h30	Diariamente
Nova terra	S∆o Lu°s - Centro	45 a 59 anos	Ensino Fundamental completo	Prefiro n∆o dizer	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	‚nibus	SIM	‚nibus	Entre 1h30 e 2h	1 a 2 vezes por semana
Nova terra	S∆o Lu°s - Cohab	18 a 24 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	‚nibus	SIM	‚nibus	Entre 1 e 1h30	Diariamente
Nova terra	S∆o Lu°s - Cohama	18 a 24 anos	Ensino Superior incompleto	Entre 1 e 2 sal†rios m°nimos	Noite (18h - 00h)	Estudo	‚nibus	SIM	‚nibus	Entre 1h30 e 2h	Diariamente
Nova terra 	S∆o Lu°s - Centro	35 a 44 anos	Ensino MÇdio completo	Prefiro n∆o dizer	Manh∆ (5h - 12h)	Trabalho	‚nibus	SIM	‚nibus	Entre 1 e 1h30	3 a 5 vezes por semana
Nova terra 	S∆o Lu°s - Cohama	45 a 59 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	‚nibus	SIM	‚nibus	Entre 1h30 e 2h	Diariamente
Olinda nova 	S∆o Lu°s - Centro	25 a 34 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	T Alternativo - Van	NAO		Maior que 2h	Raramente
Paáo do Lumiar	S∆o JosÇ de Ribamar	18 a 24 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	Bicicleta	NAO		Entre 30 min e 1h	Diariamente
Paáo do Lumiar	Barreirinhas	35 a 44 anos	Ensino Superior completo ou mais	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Carro alugado	NAO		Maior que 2h	Raramente
Paáo do Lumiar	Paáo do Lumiar	45 a 59 anos	Ensino Superior completo ou mais	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Carro pr¢prio	NAO	Carro pr¢prio	Entre 15 e 30 min	Semanalmente
Paáo do Lumiar	Paáo do Lumiar	45 a 59 anos	Ensino Superior completo ou mais	Entre 4 e 10 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Carro pr¢prio	NAO		Entre 15 e 30 min	Diariamente
Paáo do Lumiar	Raposa	35 a 44 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Carro pr¢prio	SIM	‚nibus	Maior que 2h	Semanalmente
Paáo do Lumiar	S∆o Lu°s - Centro	45 a 59 anos	Ensino Superior completo ou mais	Entre 4 e 10 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Carro pr¢prio	NAO		Entre 30 min e 1h	Diariamente
Paáo do Lumiar	S∆o Lu°s - Cohab	18 a 24 anos	Ensino MÇdio completo	Prefiro n∆o dizer	Tarde (12h - 18h)	Lazer / Turismo	Carro pr¢prio	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Paáo do Lumiar	S∆o JosÇ de Ribamar	25 a 34 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Madrugada (00h - 5h)	Trabalho	Moto pr¢pria	SIM	‚nibus	Entre 30 min e 1h	Diariamente
